WATERBODY_CODE,RDis_IX,RDIS_COND,RVegQ,RVegQc3x15,RVegQc3OE,RVEG_COND,LitCvrQ,LitCvrQc3x15,LitCvrQc3OE,LITCVR_COND,LitRipCvrQ,LitRipCvrQc3x15,LitRipCvrQc3OE,LITRIPCVR_COND
0102LA5022,0.857142857,Poor,0.159555556,0.23843972,0.66916517,Fair,0.12893183,0.149042366,0.865068328,Good,0.144243693,0.187189598,0.770575367,Fair
0301UWB0001,0.3125,Fair,0.270486264,0.206439101,1.310247248,Good,0.22241235,0.171243117,1.298810451,Good,0.246449307,0.160699911,1.533599526,Good
0503TANXXX1,0.429435484,Fair,0.26610989,0.272899259,0.975121336,Good,0.253324245,0.153050555,1.655167119,Good,0.259717068,0.216226231,1.201135806,Good
0601ALL0405,0.3675,Fair,0.261512195,0.283546181,0.922291368,Good,0.168559573,0.144735183,1.164606768,Good,0.215035884,0.224781577,0.95664372,Good
0602STJ0026A,0.572222222,Fair,0.2015,0.237848309,0.847178611,Good,0.024889989,0.157206481,0.158326735,Poor,0.113194994,0.187050046,0.605158871,Fair
0701UWB5470,0.868852459,Poor,0.02375,0.262147889,0.090597716,Poor,0.027667767,0.174028102,0.158984477,Poor,0.025708883,0.206836397,0.124295742,Poor
0703VAN0044,0.198863636,Good,0.209623626,0.262476095,0.798638925,Fair,0.226182618,0.148562619,1.52247328,Good,0.217903122,0.207014676,1.052597461,Good
0801BEA0449,0.447154472,Fair,0.285111111,0.211778171,1.346272424,Good,0.165743531,0.124873339,1.327293179,Good,0.225427321,0.16481511,1.367758828,Good
0801LIL0541,0.105555556,Good,0.403111111,0.25757944,1.564997233,Good,0.152275421,0.109731459,1.387709802,Good,0.277693266,0.202589969,1.370715774,Good
0801MIN0001,0.078947368,Good,0.31452439,0.266993775,1.178021438,Good,0.180192041,0.163929196,1.099206517,Good,0.247358216,0.210661407,1.174198059,Good
0801SAN0436,0,Good,0.419,0.254628116,1.645537053,Good,0.152551777,0.14058445,1.085125536,Good,0.285775888,0.200169437,1.427669944,Good
0801SNA0579,0,Good,0.380357478,0.259806309,1.464004008,Good,0.038586359,0.159220793,0.242344972,Poor,0.209471918,0.204517997,1.024222423,Good
