"WATERBODY_CODE","SITE_CODE","DOMINANT_SUBSTRATE","BENTHIC_CYANOBACTERIA_COVER","BENTHIC_HAB_SUBSTRATE","CANOPY_DENSIOMETER_PERCENT"
"1301SNY0377","1301SNY0377_PHAB_1","FINES","0","ROCK",0
"1301SNY0377","1301SNY0377_PHAB_2","FINES","0","FINES",88.2352941176471
"1301SNY0377","1301SNY0377_PHAB_3","ROCK","0","ROCK",100
"1301SNY0377","1301SNY0377_PHAB_4","FINES","0","FINES",35.2941176470588
"1301SNY0377","1301SNY0377_PHAB_5","FINES","0","FINES",29.4117647058824
"1301SNY0377","1301SNY0377_PHAB_6","FINES","0","ROCK",100
"1301SNY0377","1301SNY0377_PHAB_7","FINES","0","FINES",0
"1301SNY0377","1301SNY0377_PHAB_8","FINES","0","FINES",11.7647058823529
"1202UWB5157","1202UWB5157_PHAB_1","FINES","0","FINES",76.4705882352941
"1202UWB5157","1202UWB5157_PHAB_2","FINES","0","FINES",17.6470588235294
"1202UWB5157","1202UWB5157_PHAB_3","FINES","0","FINES",94.1176470588235
"1202UWB5157","1202UWB5157_PHAB_4","FINES","0","FINES",100
"1202UWB5157","1202UWB5157_PHAB_5","FINES","0","WOODY",100
"1202UWB5157","1202UWB5157_PHAB_6","FINES","0","FINES",100
"1202UWB5157","1202UWB5157_PHAB_7","FINES","0","WOODY",64.7058823529412
"1202UWB5157","1202UWB5157_PHAB_8","FINES","0","WOODY",94.1176470588235
"1309UWB6509","1309UWB6509_PHAB_4","MACROPHYTE","0","MACROPHYTE",35.2941176470588
"1309UWB6509","1309UWB6509_PHAB_3","OTHER","0","OTHER",17.6470588235294
"1309UWB6509","1309UWB6509_PHAB_2","MACROPHYTE","0","MACROPHYTE",100
"1309UWB6509","1309UWB6509_PHAB_1","LEAF_PACK","0","LEAF_PACK",100
"1309UWB6509","1309UWB6509_PHAB_8","ROCK","0","ROCK",100
"1309UWB6509","1309UWB6509_PHAB_7","MACROPHYTE","0","MACROPHYTE",100
"1309UWB6509","1309UWB6509_PHAB_6","FINES","0","FINES",94.1176470588235
"1309UWB6509","1309UWB6509_PHAB_5","FINES","0","FINES",100
"1003BUC0061","1003BUC0061_PHAB_1","FINES","0","WOODY",100
"1003BUC0061","1003BUC0061_PHAB_2","WOODY","0","FINES",94.1176470588235
"1003BUC0061","1003BUC0061_PHAB_3","MACROPHYTE","0","FINES",100
"1003BUC0061","1003BUC0061_PHAB_4","LEAF_PACK","0","FINES",88.2352941176471
"1003BUC0061","1003BUC0061_PHAB_5","ROCK","0","ROCK",100
"1003BUC0061","1003BUC0061_PHAB_6","FINES","0","FINES",70.5882352941177
"1003BUC0061","1003BUC0061_PHAB_7","FINES","0","FINES",17.6470588235294
"1003BUC0061","1003BUC0061_PHAB_8","MACROPHYTE","0","WOODY",82.3529411764706
"0902BLA0256","0902BLA0256_PHAB_5","LEAF_PACK","0","WOODY",82.3529411764706
"0902BLA0256","0902BLA0256_PHAB_4","LEAF_PACK","0","FINES",100
"0902BLA0256","0902BLA0256_PHAB_3","ROCK","0","WOODY",100
"0902BLA0256","0902BLA0256_PHAB_2","LEAF_PACK","0","WOODY",94.1176470588235
"0902BLA0256","0902BLA0256_PHAB_1","WOODY","0","WOODY",100
"0902BLA0256","0902BLA0256_PHAB_8","ROCK","0","ROCK",100
